name,type,pop_2020,LA_sqmi,PD_sqmi
Chicago,City,"2,746,388",227.73,"12,059.8"
Aurora,City,"180,542",45.023,"4,010.0"
Joliet,City,"150,362",64.516,"2,330.6"
Naperville,City,"149,540",39.077,"3,826.8"
Rockford,City,"148,655",64.544,"2,303.2"
Elgin,City,"114,797",38.027,"3,018.8"
Springfield‡[d],City,"114,394",61.138,"1,871.1"
Peoria,City,"113,150",47.965,"2,359.0"
Waukegan,City,"89,321",24.225,"3,687.1"
Champaign,City,"88,302",22.928,"3,851.3"
Cicero,Town,"85,268",5.865,"14,538.4"
Schaumburg,Village,"78,723",19.293,"4,080.4"
Bloomington,City,"78,680",27.129,"2,900.2"
Evanston,City,"78,110",7.779,"10,041.1"
Arlington Heights,Village,"77,676",16.605,"4,677.9"
Bolingbrook,Village,"73,922",24.845,"2,975.3"
Decatur,City,"70,522",42.894,"1,644.1"
Palatine,Village,"67,908",13.598,"4,994.0"
Skokie,Village,"67,824",10.064,"6,739.3"
Des Plaines,City,"60,675",14.238,"4,261.5"
Orland Park,Village,"58,703",22.028,"2,664.9"
Oak Lawn,Village,"58,362",8.571,"6,809.2"
Berwyn,City,"57,250",3.904,"14,664.4"
Mount Prospect,Village,"56,852",10.719,"5,303.9"
Tinley Park,Village,"55,971",16.096,"3,477.3"
Oak Park,Village,"54,583",4.7,"11,613.4"
Wheaton,City,"53,970",11.319,"4,768.1"
Normal,Town,"52,736",18.296,"2,882.4"
Hoffman Estates,Village,"52,530",21.065,"2,493.7"
Downers Grove,Village,"50,247",14.643,"3,431.5"
Glenview,Village,"48,705",14.001,"3,478.7"
Elmhurst,City,"45,786",10.218,"4,480.9"
Plainfield,Village,"44,762",24.722,"1,810.6"
Lombard,Village,"44,476",10.22,"4,351.9"
Buffalo Grove,Village,"43,212",9.563,"4,518.7"
Moline,City,"42,985",16.753,"2,565.8"
Belleville,City,"42,404",23.222,"1,826.0"
Bartlett,Village,"41,105",15.726,"2,613.8"
DeKalb,City,"40,290",16.15,"2,494.7"
Crystal Lake,City,"40,269",18.918,"2,128.6"
Romeoville,Village,"39,863",19.074,"2,089.9"
Carol Stream,Village,"39,854",9.119,"4,370.4"
Park Ridge,City,"39,656",7.088,"5,594.8"
Streamwood,Village,"39,577",7.798,"5,075.3"
Quincy,City,"39,463",15.765,"2,503.2"
Wheeling,Village,"39,137",8.672,"4,513.0"
Urbana,City,"38,336",11.83,"3,240.6"
Carpentersville,Village,"37,983",7.883,"4,818.3"
Hanover Park,Village,"37,470",6.422,"5,834.6"
Rock Island,City,"37,108",16.872,"2,199.4"
Calumet City,City,"36,033",7.181,"5,017.8"
Addison,Village,"35,702",9.829,"3,632.3"
Northbrook,Village,"35,222",13.24,"2,660.3"
Oswego,Village,"34,585",14.888,"2,323.0"
Woodridge,Village,"34,158",9.645,"3,541.5"
Glendale Heights,Village,"33,176",5.385,"6,160.8"
St. Charles,City,"33,081",14.401,"2,297.1"
Elk Grove Village,Village,"32,812",11.639,"2,819.1"
O'Fallon,City,"32,289",15.559,"2,075.3"
Pekin,City,"31,731",15.716,"2,019.0"
Mundelein,Village,"31,560",9.585,"3,292.6"
Niles,Village,"30,912",5.848,"5,285.9"
North Chicago,City,"30,759",7.993,"3,848.2"
Gurnee,Village,"30,706",13.503,"2,274.0"
Highland Park,City,"30,176",12.241,"2,465.2"
Galesburg,City,"30,052",17.743,"1,693.7"
Algonquin,Village,"29,700",12.302,"2,414.2"
Burbank,City,"29,439",4.17,"7,059.7"
Danville,City,"29,204",17.856,"1,635.5"
Lansing,Village,"29,076",7.462,"3,896.5"
Lake in the Hills,Village,"28,982",10.203,"2,840.5"
Glen Ellyn,Village,"28,846",6.85,"4,211.1"
Wilmette,Village,"28,170",5.403,"5,213.8"
Huntley,Village,"27,740",14.289,"1,941.4"
Granite City,City,"27,549",19.024,"1,448.1"
Chicago Heights,City,"27,480",10.283,"2,672.4"
Oak Forest,City,"27,478",6.021,"4,563.7"
Round Lake Beach,Village,"27,252",5.044,"5,402.9"
New Lenox,Village,"27,214",15.722,"1,731.0"
McHenry,City,"27,135",14.499,"1,871.5"
Vernon Hills,Village,"26,850",7.741,"3,468.5"
Edwardsville,City,"26,808",19.811,"1,353.2"
Batavia,City,"26,098",10.616,"2,458.4"
Lockport,City,"26,094",11.53,"2,263.1"
Alton,City,"25,676",15.681,"1,637.4"
Woodstock,City,"25,630",13.187,"1,943.6"
West Chicago,City,"25,614",15.376,"1,665.8"
Belvidere,City,"25,339",12.064,"2,100.4"
Morton Grove,Village,"25,297",5.088,"4,971.9"
Melrose Park,Village,"24,796",4.353,"5,696.3"
Zion,City,"24,655",9.904,"2,489.4"
Homer Glen,Village,"24,543",22.125,"1,109.3"
Elmwood Park,Village,"24,521",1.908,"12,851.7"
Westmont,Village,"24,429",5.004,"4,881.9"
Collinsville,City,"24,366",15.077,"1,616.1"
Lisle,Village,"24,223",6.901,"3,510.1"
Rolling Meadows,City,"24,200",5.616,"4,309.1"
Kankakee,City,"24,052",15.057,"1,597.4"
Freeport,City,"23,973",11.881,"2,017.8"
