name,type,lat,lon,pop_2020,LA_sqmi,PD_sqmi
Chicago,City,41.8755616,-87.6244212,2746388,227.73,12059.8
Aurora,City,41.7571701,-88.3147539,180542,45.023,4010.0
Joliet,City,41.5263603,-88.0840212,150362,64.516,2330.6
Naperville,City,41.7728699,-88.1479278,149540,39.077,3826.8
Rockford,City,42.2713945,-89.093966,148655,64.544,2303.2
Elgin,City,42.03726,-88.2810994,114797,38.027,3018.8
Springfield‡[d],City,39.7990175,-89.6439575,114394,61.138,1871.1
Peoria,City,40.6938609,-89.5891008,113150,47.965,2359.0
Waukegan,City,42.3636331,-87.8447938,89321,24.225,3687.1
Champaign,City,40.1164841,-88.2430932,88302,22.928,3851.3
Cicero,Town,41.8455398,-87.7540199,85268,5.865,14538.4
Schaumburg,Village,42.0333608,-88.083406,78723,19.293,4080.4
Bloomington,City,40.4797828,-88.9939147,78680,27.129,2900.2
Evanston,City,42.0470043,-87.6846053,78110,7.779,10041.1
Arlington Heights,Village,42.0811563,-87.9802164,77676,16.605,4677.9
Bolingbrook,Village,41.7003302,-88.0717708,73922,24.845,2975.3
Decatur,City,39.8454163,-88.9524151,70522,42.894,1644.1
Palatine,Village,42.1105779,-88.0336888,67908,13.598,4994.0
Skokie,Village,42.0262972,-87.7521069,67824,10.064,6739.3
Des Plaines,City,42.0415823,-87.8873916,60675,14.238,4261.5
Orland Park,Village,41.630663,-87.8536288,58703,22.028,2664.9
Oak Lawn,Village,41.7108662,-87.7581081,58362,8.571,6809.2
Berwyn,City,41.8505874,-87.7936685,57250,3.904,14664.4
Mount Prospect,Village,42.0664167,-87.9372908,56852,10.719,5303.9
Tinley Park,Village,41.5733669,-87.7844944,55971,16.096,3477.3
Oak Park,Village,41.8878145,-87.7887615,54583,4.7,11613.4
Wheaton,City,41.8646959,-88.1101709,53970,11.319,4768.1
Normal,Town,40.5092961,-88.9843937,52736,18.296,2882.4
Hoffman Estates,Village,42.0427256,-88.0792782,52530,21.065,2493.7
Downers Grove,Village,41.7936822,-88.0102281,50247,14.643,3431.5
Glenview,Village,42.0700662,-87.8114044,48705,14.001,3478.7
Elmhurst,City,41.8994745,-87.9403418,45786,10.218,4480.9
Plainfield,Village,41.6086711,-88.2054345,44762,24.722,1810.6
Lombard,Village,41.8864687,-88.0201536,44476,10.22,4351.9
Buffalo Grove,Village,42.1514146,-87.959794,43212,9.563,4518.7
Moline,City,41.5058344,-90.5136642,42985,16.753,2565.8
Belleville,City,38.5135805,-89.9841627,42404,23.222,1826.0
Bartlett,Village,41.9908485,-88.1850028,41105,15.726,2613.8
DeKalb,City,41.8903447,-88.7713953,40290,16.15,2494.7
Crystal Lake,City,42.2411344,-88.3161965,40269,18.918,2128.6
Romeoville,Village,41.6475306,-88.0895061,39863,19.074,2089.9
Carol Stream,Village,41.9125286,-88.1347927,39854,9.119,4370.4
Park Ridge,City,42.0112329,-87.8406031,39656,7.088,5594.8
Streamwood,Village,42.0255827,-88.1784085,39577,7.798,5075.3
Quincy,City,39.9356016,-91.4098727,39463,15.765,2503.2
Wheeling,Village,42.138889,-87.9310944,39137,8.672,4513.0
Urbana,City,40.1117174,-88.207301,38336,11.83,3240.6
Carpentersville,Village,42.1211364,-88.2578582,37983,7.883,4818.3
Hanover Park,Village,41.9994722,-88.1450735,37470,6.422,5834.6
Rock Island,City,41.4411786,-90.5766144,37108,16.872,2199.4
Calumet City,City,41.616016,-87.5295837,36033,7.181,5017.8
Addison,Village,41.931696,-87.9889556,35702,9.829,3632.3
Northbrook,Village,42.128704,-87.8265089,35222,13.24,2660.3
Oswego,Village,41.6834778,-88.3525714,34585,14.888,2323.0
Woodridge,Village,41.7563344,-88.045559,34158,9.645,3541.5
Glendale Heights,Village,41.9195385,-88.07663653173373,33176,5.385,6160.8
St. Charles,City,41.9139808,-88.3128183,33081,14.401,2297.1
Elk Grove Village,Village,42.0041236,-87.9706457,32812,11.639,2819.1
O'Fallon,City,38.5922715,-89.9112124,32289,15.559,2075.3
Pekin,City,40.5687911,-89.6501621,31731,15.716,2019.0
Mundelein,Village,42.263079,-88.0039653,31560,9.585,3292.6
Niles,Village,42.0289319,-87.8122348,30912,5.848,5285.9
North Chicago,City,42.325578,-87.8411818,30759,7.993,3848.2
Gurnee,Village,42.3702996,-87.9020186,30706,13.503,2274.0
Highland Park,City,42.1816919,-87.8003438,30176,12.241,2465.2
