County,County seat
Cook,Chicago
DuPage,Wheaton
Lake,Waukegan
Will,Joliet
Kane,Geneva
McHenry,Woodstock
Winnebago,Rockford
Madison,Edwardsville
St. Clair,Belleville
Champaign,Urbana
Sangamon,Springfield
Peoria,Peoria
McLean,Bloomington
Rock Island,Rock Island
Kendall,Yorkville
Tazewell,Pekin
LaSalle,Ottawa
Kankakee,Kankakee
Macon,Decatur
DeKalb,Sycamore
Vermilion,Danville
Williamson,Marion
Adams,Quincy
Whiteside,Morrison
Boone,Belvidere
Grundy,Morris
Jackson,Murphysboro
Ogle,Oregon
Knox,Galesburg
Henry,Cambridge
Coles,Charleston
Macoupin,Carlinville
Stephenson,Freeport
Woodford,Eureka
Franklin,Benton
Marion,Salem
Clinton,Carlyle
Jefferson,Mount Vernon
Livingston,Pontiac
Monroe,Waterloo
Effingham,Effingham
Lee,Dixon
Christian,Taylorville
Fulton,Lewistown
Bureau,Princeton
Morgan,Jacksonville
Randolph,Chester
Montgomery,Hillsboro
Logan,Lincoln
McDonough,Macomb
Iroquois,Watseka
Saline,Harrisburg
Jo Daviess,Galena
Fayette,Vandalia
Jersey,Jerseyville
Shelby,Shelbyville
Perry,Pinckneyville
Douglas,Tuscola
Crawford,Robinson
Hancock,Carthage
Union,Jonesboro
Piatt,Monticello
Bond,Greenville
Edgar,Paris
Warren,Monmouth
Wayne,Fairfield
Carroll,Mount Carroll
Mercer,Aledo
Richland,Olney
DeWitt,Clinton
Clark,Marshall
Lawrence,Lawrenceville
Pike,Pittsfield
Moultrie,Sullivan
Massac,Metropolis
Washington,Nashville
White,Carmi
Johnson,Vienna
Ford,Paxton
Clay,Louisville
Mason,Havana
Cass,Virginia
Menard,Petersburg
Marshall,Lacon
Greene,Carrollton
Wabash,Mount Carmel
Cumberland,Toledo
Jasper,Newton
Hamilton,McLeansboro
Schuyler,Rushville
Brown,Mount Sterling
Henderson,Oquawka
Edwards,Albion
Putnam,Hennepin
Stark,Toulon
Pulaski,Mound City
Alexander,Cairo
Gallatin,Shawneetown
Scott,Winchester
Calhoun,Hardin
Pope,Golconda
Hardin,Elizabethtown
