source,target,type,weight
Adams,Hancock,adjacent,1
Adams,Brown,adjacent,1
Adams,Schuyler,adjacent,1
Adams,Pike,adjacent,1
Alexander,Union,adjacent,1
Alexander,Pulaski,adjacent,1
Bond,Montgomery,adjacent,1
Bond,Fayette,adjacent,1
Bond,Clinton,adjacent,1
Bond,Madison,adjacent,1
Boone,McHenry,adjacent,1
Boone,DeKalb,adjacent,1
Boone,Ogle,adjacent,1
Boone,Winnebago,adjacent,1
Brown,Schuyler,adjacent,1
Brown,Cass,adjacent,1
Brown,Morgan,adjacent,1
Brown,Pike,adjacent,1
Bureau,Whiteside,adjacent,1
Bureau,Lee,adjacent,1
Bureau,LaSalle,adjacent,1
Bureau,Putnam,adjacent,1
Bureau,Marshall,adjacent,1
Bureau,Stark,adjacent,1
Bureau,Henry,adjacent,1
Calhoun,Greene,adjacent,1
Calhoun,Jersey,adjacent,1
Calhoun,Pike,adjacent,1
Carroll,Stephenson,adjacent,1
Carroll,Ogle,adjacent,1
Carroll,Whiteside,adjacent,1
Carroll,Jo Daviess,adjacent,1
Cass,Mason,adjacent,1
Cass,Menard,adjacent,1
Cass,Sangamon,adjacent,1
Cass,Morgan,adjacent,1
Cass,Schuyler,adjacent,1
Champaign,McLean,adjacent,1
Champaign,Ford,adjacent,1
Champaign,Vermilion,adjacent,1
Champaign,Edgar,adjacent,1
Champaign,Douglas,adjacent,1
Champaign,Piatt,adjacent,1
Christian,Macon,adjacent,1
Christian,Shelby,adjacent,1
Christian,Montgomery,adjacent,1
Christian,Sangamon,adjacent,1
Clark,Edgar,adjacent,1
Clark,Crawford,adjacent,1
Clark,Jasper,adjacent,1
Clark,Cumberland,adjacent,1
Clark,Coles,adjacent,1
Clay,Effingham,adjacent,1
Clay,Jasper,adjacent,1
Clay,Richland,adjacent,1
Clay,Wayne,adjacent,1
Clay,Marion,adjacent,1
Clay,Fayette,adjacent,1
Clinton,Fayette,adjacent,1
Clinton,Madison,adjacent,1
Clinton,Marion,adjacent,1
Clinton,St. Clair,adjacent,1
Clinton,Washington,adjacent,1
Coles,Douglas,adjacent,1
Coles,Edgar,adjacent,1
Coles,Cumberland,adjacent,1
Coles,Shelby,adjacent,1
Coles,Moultrie,adjacent,1
Cook,McHenry,adjacent,1
Cook,Lake,adjacent,1
Cook,Will,adjacent,1
Cook,DuPage,adjacent,1
Cook,Kane,adjacent,1
Crawford,Lawrence,adjacent,1
Crawford,Richland,adjacent,1
Crawford,Jasper,adjacent,1
Cumberland,Jasper,adjacent,1
Cumberland,Effingham,adjacent,1
Cumberland,Shelby,adjacent,1
DeKalb,McHenry,adjacent,1
DeKalb,Kane,adjacent,1
DeKalb,Kendall,adjacent,1
DeKalb,LaSalle,adjacent,1
DeKalb,Lee,adjacent,1
DeKalb,Ogle,adjacent,1
DeKalb,Winnebago,adjacent,1
DeWitt,McLean,adjacent,1
DeWitt,Piatt,adjacent,1
DeWitt,Macon,adjacent,1
DeWitt,Logan,adjacent,1
Douglas,Vermilion,adjacent,1
Douglas,Edgar,adjacent,1
Douglas,Moultrie,adjacent,1
Douglas,Piatt,adjacent,1
DuPage,Will,adjacent,1
DuPage,Kendall,adjacent,1
DuPage,Kane,adjacent,1
Edgar,Vermilion,adjacent,1
Edwards,Richland,adjacent,1
Edwards,Wabash,adjacent,1
Edwards,White,adjacent,1
Edwards,Wayne,adjacent,1
Effingham,Jasper,adjacent,1
Effingham,Fayette,adjacent,1
Effingham,Shelby,adjacent,1
Fayette,Shelby,adjacent,1
Fayette,Marion,adjacent,1
Fayette,Montgomery,adjacent,1
Ford,Kankakee,adjacent,1
Ford,Iroquois,adjacent,1
Ford,Vermilion,adjacent,1
Ford,McLean,adjacent,1
Ford,Livingston,adjacent,1
Franklin,Jefferson,adjacent,1
Franklin,Hamilton,adjacent,1
Franklin,Saline,adjacent,1
Franklin,Williamson,adjacent,1
Franklin,Jackson,adjacent,1
Franklin,Perry,adjacent,1
Fulton,Warren,adjacent,1
Fulton,Knox,adjacent,1
Fulton,Peoria,adjacent,1
Fulton,Tazewell,adjacent,1
Fulton,Mason,adjacent,1
Fulton,Schuyler,adjacent,1
Fulton,McDonough,adjacent,1
Gallatin,White,adjacent,1
Gallatin,Hardin,adjacent,1
Gallatin,Saline,adjacent,1
Gallatin,Hamilton,adjacent,1
Greene,Scott,adjacent,1
Greene,Morgan,adjacent,1
Greene,Macoupin,adjacent,1
Greene,Jersey,adjacent,1
Greene,Pike,adjacent,1
Grundy,Kendall,adjacent,1
Grundy,Will,adjacent,1
Grundy,Kankakee,adjacent,1
Grundy,Livingston,adjacent,1
Grundy,LaSalle,adjacent,1
Hamilton,Wayne,adjacent,1
Hamilton,White,adjacent,1
Hamilton,Saline,adjacent,1
Hamilton,Jefferson,adjacent,1
Hancock,Henderson,adjacent,1
Hancock,McDonough,adjacent,1
Hancock,Schuyler,adjacent,1
Hardin,Pope,adjacent,1
Hardin,Saline,adjacent,1
Henderson,Mercer,adjacent,1
Henderson,Warren,adjacent,1
Henderson,McDonough,adjacent,1
Henry,Rock Island,adjacent,1
Henry,Whiteside,adjacent,1
Henry,Stark,adjacent,1
Henry,Knox,adjacent,1
Henry,Mercer,adjacent,1
Iroquois,Kankakee,adjacent,1
Iroquois,Vermilion,adjacent,1
Jackson,Perry,adjacent,1
Jackson,Williamson,adjacent,1
Jackson,Union,adjacent,1
Jackson,Randolph,adjacent,1
Jasper,Richland,adjacent,1
Jefferson,Marion,adjacent,1
Jefferson,Wayne,adjacent,1
Jefferson,Perry,adjacent,1
Jefferson,Washington,adjacent,1
Jersey,Macoupin,adjacent,1
Jersey,Madison,adjacent,1
Jo Daviess,Stephenson,adjacent,1
Johnson,Williamson,adjacent,1
Johnson,Saline,adjacent,1
Johnson,Pope,adjacent,1
Johnson,Massac,adjacent,1
Johnson,Pulaski,adjacent,1
Johnson,Union,adjacent,1
Kane,McHenry,adjacent,1
Kane,Will,adjacent,1
Kane,Kendall,adjacent,1
Kankakee,Will,adjacent,1
Kankakee,Livingston,adjacent,1
Kendall,Will,adjacent,1
Kendall,LaSalle,adjacent,1
Knox,Mercer,adjacent,1
Knox,Stark,adjacent,1
Knox,Peoria,adjacent,1
Knox,Warren,adjacent,1
Lake,McHenry,adjacent,1
LaSalle,Lee,adjacent,1
LaSalle,Livingston,adjacent,1
LaSalle,Woodford,adjacent,1
LaSalle,Marshall,adjacent,1
LaSalle,Putnam,adjacent,1
Lawrence,Wabash,adjacent,1
Lawrence,Richland,adjacent,1
Lee,Ogle,adjacent,1
Lee,Whiteside,adjacent,1
Livingston,McLean,adjacent,1
Livingston,Woodford,adjacent,1
Logan,Mason,adjacent,1
Logan,Tazewell,adjacent,1
Logan,McLean,adjacent,1
Logan,Macon,adjacent,1
Logan,Sangamon,adjacent,1
Logan,Menard,adjacent,1
Macon,Piatt,adjacent,1
Macon,Moultrie,adjacent,1
Macon,Shelby,adjacent,1
Macon,Sangamon,adjacent,1
Macoupin,Sangamon,adjacent,1
Macoupin,Montgomery,adjacent,1
Macoupin,Madison,adjacent,1
Macoupin,Morgan,adjacent,1
Madison,Montgomery,adjacent,1
Madison,St. Clair,adjacent,1
Marion,Wayne,adjacent,1
Marion,Washington,adjacent,1
Marshall,Putnam,adjacent,1
Marshall,Woodford,adjacent,1
Marshall,Peoria,adjacent,1
Marshall,Stark,adjacent,1
Mason,Tazewell,adjacent,1
Mason,Menard,adjacent,1
Mason,Schuyler,adjacent,1
Massac,Pope,adjacent,1
Massac,Pulaski,adjacent,1
McDonough,Warren,adjacent,1
McDonough,Schuyler,adjacent,1
McLean,Woodford,adjacent,1
McLean,Piatt,adjacent,1
McLean,Tazewell,adjacent,1
Menard,Sangamon,adjacent,1
Mercer,Rock Island,adjacent,1
Mercer,Warren,adjacent,1
Monroe,St. Clair,adjacent,1
Monroe,Randolph,adjacent,1
Montgomery,Sangamon,adjacent,1
Montgomery,Shelby,adjacent,1
Morgan,Sangamon,adjacent,1
Morgan,Pike,adjacent,1
Morgan,Scott,adjacent,1
Moultrie,Piatt,adjacent,1
Moultrie,Shelby,adjacent,1
Ogle,Winnebago,adjacent,1
Ogle,Stephenson,adjacent,1
Ogle,Whiteside,adjacent,1
Peoria,Stark,adjacent,1
Peoria,Woodford,adjacent,1
Peoria,Tazewell,adjacent,1
Perry,Washington,adjacent,1
Perry,Randolph,adjacent,1
Pike,Scott,adjacent,1
Pike,Calhoun,adjacent,1
Pope,Saline,adjacent,1
Pope,Williamson,adjacent,1
Pulaski,Union,adjacent,1
Randolph,St. Clair,adjacent,1
Randolph,Washington,adjacent,1
Richland,Wabash,adjacent,1
Richland,Wayne,adjacent,1
Rock Island,Whiteside,adjacent,1
Saline,White,adjacent,1
Saline,Williamson,adjacent,1
St. Clair,Washington,adjacent,1
Stephenson,Winnebago,adjacent,1
Tazewell,Woodford,adjacent,1
Union,Williamson,adjacent,1
Wayne,White,adjacent,1
Rockford,Winnebago,constituent,0.25
Elgin,Kane,constituent,0.25
Aurora,Kane,constituent,0.25
