Name,Type,Population 2020,Land area sq mi,Land area km2,Population density
Chicago,City,"2,746,388",227.73,589.8,"12,059.8/sq mi (4,656.3/km2)"
Aurora,City,"180,542",45.023,116.61,"4,010.0/sq mi (1,548.3/km2)"
Joliet,City,"150,362",64.516,167.1,"2,330.6/sq mi (899.9/km2)"
Naperville,City,"149,540",39.077,101.21,"3,826.8/sq mi (1,477.5/km2)"
Rockford,City,"148,655",64.544,167.17,"2,303.2/sq mi (889.3/km2)"
Elgin,City,"114,797",38.027,98.49,"3,018.8/sq mi (1,165.6/km2)"
Springfield‡[d],City,"114,394",61.138,158.35,"1,871.1/sq mi (722.4/km2)"
Peoria,City,"113,150",47.965,124.23,"2,359.0/sq mi (910.8/km2)"
Waukegan,City,"89,321",24.225,62.74,"3,687.1/sq mi (1,423.6/km2)"
Champaign,City,"88,302",22.928,59.38,"3,851.3/sq mi (1,487.0/km2)"
Cicero,Town,"85,268",5.865,15.19,"14,538.4/sq mi (5,613.3/km2)"
Schaumburg,Village,"78,723",19.293,49.97,"4,080.4/sq mi (1,575.4/km2)"
Bloomington,City,"78,680",27.129,70.26,"2,900.2/sq mi (1,119.8/km2)"
Evanston,City,"78,110",7.779,20.15,"10,041.1/sq mi (3,876.9/km2)"
Arlington Heights,Village,"77,676",16.605,43.01,"4,677.9/sq mi (1,806.1/km2)"
Bolingbrook,Village,"73,922",24.845,64.35,"2,975.3/sq mi (1,148.8/km2)"
Decatur,City,"70,522",42.894,111.09,"1,644.1/sq mi (634.8/km2)"
Palatine,Village,"67,908",13.598,35.22,"4,994.0/sq mi (1,928.2/km2)"
Skokie,Village,"67,824",10.064,26.07,"6,739.3/sq mi (2,602.0/km2)"
Des Plaines,City,"60,675",14.238,36.88,"4,261.5/sq mi (1,645.4/km2)"
Orland Park,Village,"58,703",22.028,57.05,"2,664.9/sq mi (1,028.9/km2)"
Oak Lawn,Village,"58,362",8.571,22.2,"6,809.2/sq mi (2,629.1/km2)"
Berwyn,City,"57,250",3.904,10.11,"14,664.4/sq mi (5,662.0/km2)"
Mount Prospect,Village,"56,852",10.719,27.76,"5,303.9/sq mi (2,047.8/km2)"
Tinley Park,Village,"55,971",16.096,41.69,"3,477.3/sq mi (1,342.6/km2)"
Oak Park,Village,"54,583",4.7,12.17,"11,613.4/sq mi (4,484.0/km2)"
Wheaton,City,"53,970",11.319,29.32,"4,768.1/sq mi (1,841.0/km2)"
Normal,Town,"52,736",18.296,47.39,"2,882.4/sq mi (1,112.9/km2)"
Hoffman Estates,Village,"52,530",21.065,54.56,"2,493.7/sq mi (962.8/km2)"
Downers Grove,Village,"50,247",14.643,37.93,"3,431.5/sq mi (1,324.9/km2)"
Glenview,Village,"48,705",14.001,36.26,"3,478.7/sq mi (1,343.1/km2)"
Elmhurst,City,"45,786",10.218,26.46,"4,480.9/sq mi (1,730.1/km2)"
Plainfield,Village,"44,762",24.722,64.03,"1,810.6/sq mi (699.1/km2)"
Lombard,Village,"44,476",10.22,26.47,"4,351.9/sq mi (1,680.3/km2)"
Buffalo Grove,Village,"43,212",9.563,24.77,"4,518.7/sq mi (1,744.7/km2)"
Moline,City,"42,985",16.753,43.39,"2,565.8/sq mi (990.7/km2)"
Belleville,City,"42,404",23.222,60.14,"1,826.0/sq mi (705.0/km2)"
Bartlett,Village,"41,105",15.726,40.73,"2,613.8/sq mi (1,009.2/km2)"
DeKalb,City,"40,290",16.15,41.83,"2,494.7/sq mi (963.2/km2)"
Crystal Lake,City,"40,269",18.918,49,"2,128.6/sq mi (821.9/km2)"
Romeoville,Village,"39,863",19.074,49.4,"2,089.9/sq mi (806.9/km2)"
Carol Stream,Village,"39,854",9.119,23.62,"4,370.4/sq mi (1,687.4/km2)"
Park Ridge,City,"39,656",7.088,18.36,"5,594.8/sq mi (2,160.2/km2)"
Streamwood,Village,"39,577",7.798,20.2,"5,075.3/sq mi (1,959.6/km2)"
Quincy,City,"39,463",15.765,40.83,"2,503.2/sq mi (966.5/km2)"
Wheeling,Village,"39,137",8.672,22.46,"4,513.0/sq mi (1,742.5/km2)"
Urbana,City,"38,336",11.83,30.64,"3,240.6/sq mi (1,251.2/km2)"
Carpentersville,Village,"37,983",7.883,20.42,"4,818.3/sq mi (1,860.4/km2)"
Hanover Park,Village,"37,470",6.422,16.63,"5,834.6/sq mi (2,252.8/km2)"
Rock Island,City,"37,108",16.872,43.7,"2,199.4/sq mi (849.2/km2)"
Calumet City,City,"36,033",7.181,18.6,"5,017.8/sq mi (1,937.4/km2)"
Addison,Village,"35,702",9.829,25.46,"3,632.3/sq mi (1,402.4/km2)"
Northbrook,Village,"35,222",13.24,34.29,"2,660.3/sq mi (1,027.1/km2)"
Oswego,Village,"34,585",14.888,38.56,"2,323.0/sq mi (896.9/km2)"
Woodridge,Village,"34,158",9.645,24.98,"3,541.5/sq mi (1,367.4/km2)"
Glendale Heights,Village,"33,176",5.385,13.95,"6,160.8/sq mi (2,378.7/km2)"
St. Charles,City,"33,081",14.401,37.3,"2,297.1/sq mi (886.9/km2)"
Elk Grove Village,Village,"32,812",11.639,30.14,"2,819.1/sq mi (1,088.5/km2)"
O'Fallon,City,"32,289",15.559,40.3,"2,075.3/sq mi (801.3/km2)"
Pekin,City,"31,731",15.716,40.7,"2,019.0/sq mi (779.5/km2)"
Mundelein,Village,"31,560",9.585,24.83,"3,292.6/sq mi (1,271.3/km2)"
Niles,Village,"30,912",5.848,15.15,"5,285.9/sq mi (2,040.9/km2)"
North Chicago,City,"30,759",7.993,20.7,"3,848.2/sq mi (1,485.8/km2)"
Gurnee,Village,"30,706",13.503,34.97,"2,274.0/sq mi (878.0/km2)"
Highland Park,City,"30,176",12.241,31.7,"2,465.2/sq mi (951.8/km2)"
Galesburg,City,"30,052",17.743,45.95,"1,693.7/sq mi (654.0/km2)"
Algonquin,Village,"29,700",12.302,31.86,"2,414.2/sq mi (932.1/km2)"
Burbank,City,"29,439",4.17,10.8,"7,059.7/sq mi (2,725.8/km2)"
Danville,City,"29,204",17.856,46.25,"1,635.5/sq mi (631.5/km2)"
Lansing,Village,"29,076",7.462,19.33,"3,896.5/sq mi (1,504.5/km2)"
Lake in the Hills,Village,"28,982",10.203,26.43,"2,840.5/sq mi (1,096.7/km2)"
