ObjectID,RevisitID,Reporter,OccStatus,Status,RevisitDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,CoordAcc,Abundance,InfestAcre,GrossAcre,PercentCov,Density,Quantity,QuantityU,APPXQuant,NumCollect,Incidence,Severity,ManageStat,PopStat,RecBasis,UUID,RecSrcTyp,VisitType,PlantTreat,TreatComm,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm
"92665","9316989",David Taylor USDA Forest Service,Detected,Positive,03-28-13,04-01-13,,"Rockcastle, Kentucky, United States","  37.37970"," -84.33230",WGS84,,,0,,,,,,,,,,,,,,Web Report,Monitoring,,,"Looked at site.  State highway crews cut the population back in fall of 2012; may have herbicided the cut stumps",,,,Verified,,
"92665","9377920",David Taylor USDA Forest Service,Detected,Positive,07-10-19,07-16-19,07-16-19,"Rockcastle, Kentucky, United States","  37.37970"," -84.33230",WGS84,,,0.05,,,,,,,,,,,,,,Web Report,Monitoring,,,"area largely dug up  for road construction, just a few plants left",,,,Not Verified,,
"616387","9316825",Bloomington Parks and Recreation Bloomington Indiana Parks and Recreation,Detected,Positive,11-17-09,11-17-09,,"Monroe, Indiana, United States","  39.17996"," -86.53625",WGS84,,,0,,,,,,,,,,,,,,Web Report,Monitoring,,,Just a drive by of the property.  Considering treatment options.,,,,Verified,,
"1817248","9411369",Tricia Bethke The Morton Arboretum,Detected,Positive,08-20-20,08-21-20,,"Union, Illinois, United States","  37.53436"," -89.21081",WGS84,,,0.28,,,<5%,,,,,,,,,,,iPhone,,,,Private property ,,,,Not Verified,,
"1817258","9411370",Tricia Bethke The Morton Arboretum,Detected,Positive,08-20-20,08-21-20,,"Union, Illinois, United States","  37.53583"," -89.21013",WGS84,,,0,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Not Verified,,
"2016387","11327624","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Negative,06-23-22,03-23-23,,"Carroll, New Hampshire, United States","  44.07469"," -71.28265",WGS84,,,,0.02,,,,,,,,,Not Found,,Human Observation,,Web Report,Evaluation,,,"1063.01 / Town Center / Euonumus, Rosa, & Acer occur in the maintained yard on the Brown House.  The Lonicera and Ailanthus occur on the road edge in an overgrown portion of the property.",,,,Verified,,
"2019894","9424802","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Strafford, New Hampshire, United States","  43.13869"," -70.93647",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"2415478","9317573",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-20-11,05-28-14,,"Moore, North Carolina, United States","  35.25141"," -79.54329",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Basal bark saplings with Pathfinder II herbicide.,,,,Verified,,
"2415478","9317574",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,09-11-13,05-28-14,,"Moore, North Carolina, United States","  35.25141"," -79.54329",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Cut re-sprouts and spray the stumps with Pathfinder II herbicide.,,,,Verified,,
"2415479","9317202",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-28-12,05-07-14,,"Moore, North Carolina, United States","  35.25363"," -79.53965",WGS84,,,0.01,,,,,,,,,,,,,,Web Report,Treatment,,,Saplings and seedlings cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
"2415479","9317203",Tracy Rush NC Sandhills Weed Management Area,Detected,Treated,08-30-13,05-07-14,,"Moore, North Carolina, United States","  35.25363"," -79.53965",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,Re-sprouts cut and stumps sprayed with Pathfinder II herbicide.,,,,Verified,,
